date;topic;temp;lat;lng
2019-10-03-15-46-35;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-37;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-40;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-42;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-44;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-46;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-48;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-51;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-53;TempGPS;16.812;52.4347;13.2839
2019-10-03-15-46-58;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-00;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-02;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-04;TempGPS;16.75;52.4347;13.284
2019-10-03-15-47-06;TempGPS;16.75;52.4347;13.284
2019-10-03-15-47-08;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-10;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-14;TempGPS;16.687;52.4347;13.2839
2019-10-03-15-47-16;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-18;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-20;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-23;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-26;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-28;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-30;TempGPS;16.687;52.4347;13.284
2019-10-03-15-47-32;TempGPS;16.75;52.4347;13.284
2019-10-03-15-47-34;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-36;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-38;TempGPS;16.75;52.4347;13.2839
2019-10-03-15-47-41;TempGPS;16.687;52.4347;13.2839
2019-10-03-15-47-44;TempGPS;16.75;52.4348;13.2839
2019-10-03-15-47-46;TempGPS;16.75;52.4348;13.2839
2019-10-03-15-47-48;TempGPS;16.75;52.4348;13.2839
2019-10-03-15-47-50;TempGPS;16.687;52.4348;13.2839
2019-10-03-15-47-52;TempGPS;16.687;52.4348;13.2839
2019-10-03-15-47-55;TempGPS;16.687;52.4348;13.2839
2019-10-03-15-48-06;TempGPS;16.687;52.4348;13.284
2019-10-03-15-48-08;TempGPS;16.687;52.4348;13.284
2019-10-03-15-48-10;TempGPS;16.687;52.4348;13.284
2019-10-03-15-48-14;TempGPS;16.687;52.4348;13.284
2019-10-03-15-48-16;TempGPS;16.687;52.4348;13.284
2019-10-03-15-48-18;TempGPS;16.687;52.4348;13.284
